,yr_mth,Cured_Daily,Deaths_Daily,Confirmed_Daily
0,2020_10,273362.0,2363.0,227487.0
1,2020_11,97872.0,625.0,63501.0
2,2020_12,47222.0,316.0,34645.0
3,2020_3,5.0,3.0,83.0
4,2020_4,218.0,18.0,474.0
5,2020_5,774.0,27.0,2365.0
6,2020_6,6686.0,178.0,11373.0
7,2020_7,39011.0,2004.0,104337.0
8,2020_8,195535.0,3359.0,217296.0
9,2020_9,234149.0,3188.0,256983.0
10,2021_1,25823.0,132.0,20321.0
11,2021_2,12090.0,113.0,11865.0
12,2021_3,21931.0,215.0,42049.0
13,2021_4,155347.0,2765.0,482067.0
14,2021_5,1107092.0,13373.0,1112981.0
15,2021_6,502362.0,6250.0,252601.0
16,2021_7,123631.0,1596.0,62709.0
17,2021_8,18389.0,323.0,17912.0
